央视,#genre#
CCTV1,http://171.120.249.236:9003/hls/1/index.m3u8
CCTV2,http://171.120.249.236:9003/hls/2/index.m3u8
CCTV3,http://171.120.249.236:9003/hls/3/index.m3u8
CCTV4,http://171.120.249.236:9003/hls/4/index.m3u8
CCTV5,http://171.120.249.236:9003/hls/5/index.m3u8
CCTV5+,http://171.120.249.236:9003/hls/6/index.m3u8
CCTV6,http://171.120.249.236:9003/hls/7/index.m3u8
CCTV7,http://171.120.249.236:9003/hls/8/index.m3u8
CCTV8,http://171.120.249.236:9003/hls/9/index.m3u8
CCTV9,http://171.120.249.236:9003/hls/10/index.m3u8
CCTV10,http://171.120.249.236:9003/hls/11/index.m3u8
CCTV11,http://171.120.249.236:9003/hls/12/index.m3u8
CCTV12,http://171.120.249.236:9003/hls/13/index.m3u8
CCTV13,http://171.120.249.236:9003/hls/14/index.m3u8
CCTV14,http://171.120.249.236:9003/hls/15/index.m3u8
CCTV15,http://171.120.249.236:9003/hls/16/index.m3u8
CCTV16,http://171.120.249.236:9003/hls/17/index.m3u8
CCTV17,http://171.120.249.236:9003/hls/18/index.m3u8
CCTV1-综合,http://114.241.107.24:85/tsfile/live/1/1001_1.m3u8?key=txiptv
CCTV2-财经,http://114.241.107.24:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV3-综艺,http://114.241.107.24:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV4-国际,http://114.241.107.24:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV5-体育,http://114.241.107.24:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV6-电影,http://114.241.107.24:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV7-军农,http://114.241.107.24:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV8-电视剧,http://114.241.107.24:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV9-纪录,http://114.241.107.24:85/tsfile/live/9/1009_1.m3u8?key=txiptv
CCTV10-科教,http://114.241.107.24:85/tsfile/live/10/1010_1.m3u8?key=txiptv
CCTV11-戏曲,http://114.241.107.24:85/tsfile/live/11/1011_1.m3u8?key=txiptv
CCTV12-社会与法,http://114.241.107.24:85/tsfile/live/12/1012_1.m3u8?key=txiptv
CCTV13-新闻,http://114.241.107.24:85/tsfile/live/13/1013_1.m3u8?key=txiptv
CCTV14-少儿,http://114.241.107.24:85/tsfile/live/14/1014_1.m3u8?key=txiptv
CCTV15-音乐,http://114.241.107.24:85/tsfile/live/15/1015_1.m3u8?key=txiptv
CCTV5+,http://114.241.107.24:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV1-综合,http://111.8.242.103:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://111.8.242.103:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://111.8.242.103:9999/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://111.8.242.103:9999/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://111.8.242.103:9999/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://111.8.242.103:9999/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://111.8.242.103:9999/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://111.8.242.103:9999/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://111.8.242.103:9999/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://111.8.242.103:9999/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://111.8.242.103:9999/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://111.8.242.103:9999/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://111.8.242.103:9999/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://111.8.242.103:9999/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://111.8.242.103:9999/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://175.0.71.13:8989/rtp/239.76.253.151:9000
CCTV1,http://175.0.71.13:8989/rtp/239.76.246.151:1234
CCTV2,http://175.0.71.13:8989/rtp/239.76.246.152:1234
CCTV3,http://175.0.71.13:8989/rtp/239.76.253.153:9000
CCTV3,http://175.0.71.13:8989/rtp/239.76.246.153:1234
CCTV4,http://175.0.71.13:8989/rtp/239.76.245.195:1234
CCTV4,http://175.0.71.13:8989/rtp/239.76.246.154:1234
CCTV4,http://175.0.71.13:8989/rtp/239.76.253.154:9000
CCTV4欧洲,http://175.0.71.13:8989/rtp/239.76.246.95:1234
CCTV5,http://175.0.71.13:8989/rtp/239.76.253.155:9000
CCTV5,http://175.0.71.13:8989/rtp/239.76.246.155:1234
CCTV5,http://175.0.71.13:8989/rtp/239.76.254.214:9000
CCTV5+,http://175.0.71.13:8989/rtp/239.76.246.168:1234
CCTV5+,http://175.0.71.13:8989/rtp/239.76.254.215:9000
CCTV6,http://175.0.71.13:8989/rtp/239.76.246.156:1234
CCTV7,http://175.0.71.13:8989/rtp/239.76.253.157:9000
CCTV8,http://175.0.71.13:8989/rtp/239.76.253.158:9000
CCTV8,http://175.0.71.13:8989/rtp/239.76.246.158:1234
CCTV10,http://175.0.71.13:8989/rtp/239.76.246.160:1234
CCTV11,http://175.0.71.13:8989/rtp/239.76.252.251:9000
CCTV13,http://175.0.71.13:8989/rtp/239.76.253.93:9000
CCTV14,http://175.0.71.13:8989/rtp/239.76.246.164:1234
CCTV14,http://175.0.71.13:8989/rtp/239.76.253.164:9000
CCTV15,http://175.0.71.13:8989/rtp/239.76.252.252:9000
CCTV16,http://175.0.71.13:8989/rtp/239.76.253.98:9000
CCTV17,http://175.0.71.13:8989/rtp/239.76.245.238:1234
CGTN阿语,http://175.0.71.13:8989/rtp/239.76.253.97:9000
CGTN阿语,http://175.0.71.13:8989/rtp/239.76.246.97:1234
CGTN俄语,http://175.0.71.13:8989/rtp/239.76.246.86:1234
CGTN俄语,http://175.0.71.13:8989/rtp/239.76.253.86:9000

卫视,#genre#
山西卫视,http://171.120.249.236:9003/hls/19/index.m3u8
北京卫视,http://171.120.249.236:9003/hls/20/index.m3u8
安徽卫视,http://171.120.249.236:9003/hls/21/index.m3u8
重庆卫视,http://171.120.249.236:9003/hls/22/index.m3u8
东方卫视,http://171.120.249.236:9003/hls/23/index.m3u8
甘肃卫视,http://171.120.249.236:9003/hls/25/index.m3u8
广东卫视,http://171.120.249.236:9003/hls/26/index.m3u8
广西卫视,http://171.120.249.236:9003/hls/27/index.m3u8
海南卫视,http://171.120.249.236:9003/hls/28/index.m3u8
河北卫视,http://171.120.249.236:9003/hls/29/index.m3u8
河南卫视,http://171.120.249.236:9003/hls/30/index.m3u8
黑龙江卫视,http://171.120.249.236:9003/hls/31/index.m3u8
湖北卫视,http://171.120.249.236:9003/hls/32/index.m3u8
湖南卫视,http://171.120.249.236:9003/hls/33/index.m3u8
吉林卫视,http://171.120.249.236:9003/hls/34/index.m3u8
江苏卫视,http://171.120.249.236:9003/hls/35/index.m3u8
江西卫视,http://171.120.249.236:9003/hls/36/index.m3u8
辽宁卫视,http://171.120.249.236:9003/hls/37/index.m3u8
宁夏卫视,http://171.120.249.236:9003/hls/39/index.m3u8
青海卫视,http://171.120.249.236:9003/hls/40/index.m3u8
山东卫视,http://171.120.249.236:9003/hls/41/index.m3u8
陕西卫视,http://171.120.249.236:9003/hls/42/index.m3u8
深圳卫视,http://171.120.249.236:9003/hls/43/index.m3u8
四川卫视,http://171.120.249.236:9003/hls/44/index.m3u8
天津卫视,http://171.120.249.236:9003/hls/45/index.m3u8
BTV北京卫视,http://114.241.107.24:85/tsfile/live/16/1016_1.m3u8?key=txiptv
湖南卫视高清,http://114.241.107.24:85/tsfile/live/26/1026_1.m3u8?key=txiptv
浙江卫视-高清,http://114.241.107.24:85/tsfile/live/27/1027_1.m3u8?key=txiptv
江苏卫视-高清,http://114.241.107.24:85/tsfile/live/28/1028_1.m3u8?key=txiptv
安徽卫视,http://114.241.107.24:85/tsfile/live/29/1029_1.m3u8?key=txiptv
天津卫视-高清,http://114.241.107.24:85/tsfile/live/30/1030_1.m3u8?key=txiptv
辽宁卫视,http://114.241.107.24:85/tsfile/live/31/1031_1.m3u8?key=txiptv
江苏卫视,http://114.241.107.24:85/tsfile/live/32/1032_1.m3u8?key=txiptv
云南卫视,http://114.241.107.24:85/tsfile/live/33/1033_1.m3u8?key=txiptv
河南卫视,http://114.241.107.24:85/tsfile/live/34/1034_1.m3u8?key=txiptv
黑龙江卫视-高清,http://114.241.107.24:85/tsfile/live/35/1035_1.m3u8?key=txiptv
四川卫视,http://114.241.107.24:85/tsfile/live/36/1036_1.m3u8?key=txiptv
江西卫视,http://114.241.107.24:85/tsfile/live/37/1037_1.m3u8?key=txiptv
贵州卫视-高清,http://114.241.107.24:85/tsfile/live/38/1038_1.m3u8?key=txiptv
深圳卫视,http://114.241.107.24:85/tsfile/live/39/1039_1.m3u8?key=txiptv
湖北卫视-高清,http://114.241.107.24:85/tsfile/live/40/1040_1.m3u8?key=txiptv
东方卫视-高清,http://114.241.107.24:85/tsfile/live/41/1041_1.m3u8?key=txiptv
重庆卫视,http://114.241.107.24:85/tsfile/live/42/1042_1.m3u8?key=txiptv
东南卫视,http://114.241.107.24:85/tsfile/live/43/1043_1.m3u8?key=txiptv
河北卫视-高清,http://114.241.107.24:85/tsfile/live/44/1044_1.m3u8?key=txiptv
广东卫视-高清,http://114.241.107.24:85/tsfile/live/45/1045_1.m3u8?key=txiptv
广西卫视,http://114.241.107.24:85/tsfile/live/46/1046_1.m3u8?key=txiptv
吉林卫视,http://114.241.107.24:85/tsfile/live/47/1047_1.m3u8?key=txiptv
陕西卫视,http://114.241.107.24:85/tsfile/live/48/1048_1.m3u8?key=txiptv
山西卫视,http://114.241.107.24:85/tsfile/live/49/1049_1.m3u8?key=txiptv
内蒙古卫视,http://114.241.107.24:85/tsfile/live/50/1050_1.m3u8?key=txiptv
青海卫视,http://114.241.107.24:85/tsfile/live/51/1051_1.m3u8?key=txiptv
湖南卫视,http://111.8.242.103:9999/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://111.8.242.103:9999/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://111.8.242.103:9999/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://111.8.242.103:9999/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://111.8.242.103:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://111.8.242.103:9999/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://111.8.242.103:9999/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://111.8.242.103:9999/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://111.8.242.103:9999/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
